"day","Date","Day","BirthEvents","Samplings","Cases","SuspectedCases","Lineages","TotalCases","PropSequencedTotal"
43,2014-05-03,43,0,0,0,0,22,0,NA
44,2014-05-04,44,0,0,0,0,22,0,NA
45,2014-05-05,45,0,0,0,0,22,0,NA
46,2014-05-06,46,0,0,0,0,22,0,NA
47,2014-05-07,47,0,0,0,0,22,0,NA
48,2014-05-08,48,0,0,0,0,22,0,NA
49,2014-05-09,49,0,0,0,0,22,0,NA
50,2014-05-10,50,0,0,0,0,22,0,NA
51,2014-05-11,51,0,0,0,0,22,0,NA
52,2014-05-12,52,0,0,0,0,22,0,NA
53,2014-05-13,53,0,0,0,0,22,0,NA
54,2014-05-14,54,0,0,0,0,22,0,NA
55,2014-05-15,55,0,0,0,0,22,0,NA
56,2014-05-16,56,0,0,0,0,22,0,NA
57,2014-05-17,57,5,0,0,0,28,0,NA
58,2014-05-18,58,8,0,1,0,35,1,0
59,2014-05-19,59,7,0,0,0,42,0,NA
