"Rep","Acceptance","Likelihood1","Likelihood2","LikelihoodDelta","TruePeak","TrueGamma","TruePhi","TruePsi","Cases","TreeSize","PercentTrajCaptured","GammaMean","GammaLower95","GappaUpper95","PhiMean","PhiLower95","PhiUpper95","PsiMean","PsiLower95","PsiUpper95","GammaCalibration1","PhiCalibration1","PsiCalibration1","GammaCalibration2","PhiCalibration2","PsiCalibration2","RunTime","Batch","LikelihoodDelta_Percent","Epidemic_Length"
33,0.5505,-104.811892225168,-105.520863139217,0.708970914049033,998,0.25530929,0.01513946,0.000684178,352,16,1.17391304347826,0.198001059108047,0.123547566856718,0.284998765519064,0.0192605208450353,0.00996513299623671,0.0290769506203067,0.000787936181428432,0.000320705104634434,0.00134193615650064,0.157894736842105,0.894736842105263,0.631578947368421,0.210526315789474,0.421052631578947,0.736842105263158,301474715000,1,0.00671877478024098,92
34,0.3865,-239.327692984033,-239.360165256931,0.0324722728980475,5872,0.057450801,0.005910462,0.000274183,897,42,0.63265306122449,0.131120322926323,0.0924265305507047,0.172647726477866,0.0179924716575522,0.0107397903415375,0.0276886555776759,0.000865145093842315,0.000383328844019577,0.0012964223787691,0,0,0,0,0,0,482303842542,1,0.000135662811158204,106
35,0.4055,-209.350781761014,-209.729320098745,0.378538337731584,2361,0.163155077,0.01440996,0.000808263,679,38,0.410526315789474,0.180168652851194,0.141672937852878,0.236583523462063,0.0195286646376662,0.0129745335432061,0.0261318940316784,0.00106678794129664,0.000631171269144398,0.00142621304826829,0.789473684210526,0.263157894736842,0.157894736842105,0.473684210526316,0.105263157894737,0.210526315789474,458790482542,1,0.00180488992933062,106
38,0.425999999999999,-496.011730638721,-493.914668363106,2.09706227561526,1629,0.196915128,0.038868932,0.002581524,1318,88,0.943820224719101,0.220998865745264,0.14976864298377,0.290867680178949,0.0285266078423437,0.0106350306589075,0.0387623821398214,0.00160313868330328,0.000609758986594965,0.0022461402148075,0.894736842105263,0.105263157894737,0,0.526315789473684,0.105263157894737,0,630190566458,1,0.00424579873799898,92
39,0.362,-620.580671613247,-619.775742531937,0.804929081310092,3307,0.115608187,0.019401086,0.001440182,1448,108,0.329896907216495,0.179749735397414,0.139377210138623,0.252958223206437,0.018715530547186,0.0117222384773268,0.02531927353367,0.00126393406525193,0.000882390703125942,0.00171215426906482,0,0.894736842105263,0.31578947368421,0,0.842105263157894,0.421052631578947,760692053916,1,0.0012987424742081,106
43,0.4895,-295.853737119061,-295.132002269275,0.721734849785776,967,0.222411483,0.03093397,0.001815471,866,51,0.329787234042553,0.175376859224307,0.121057913541896,0.254501360125966,0.0250083754680863,0.0140451311351006,0.0350126332321318,0.00121824067895814,0.000793635279382966,0.00173945054570918,0.105263157894737,0.421052631578947,0,0.210526315789474,0.31578947368421,0,437196910834,1,0.00244546455225575,99
45,0.5965,-168.26144926757,-168.281612886537,0.0201636189678709,469,0.258721322,0.022742928,0.001618518,387,28,0.484536082474227,0.180226303625738,0.105577692389518,0.266160604932219,0.0202824270207741,0.0121607190329941,0.0276507196849309,0.00132690836581415,0.00074132044708028,0.00175346625303537,0.0526315789473684,0.421052631578947,0.578947368421053,0.0526315789473684,0.578947368421053,0.31578947368421,369850147832,1,0.000119820689985103,106
46,0.3075,-132.758916327393,-132.965718211423,0.206801884030796,3193,0.136463257,0.014960649,0.00033127,961,21,0.340425531914894,0.173523405387599,0.123852023458645,0.236524739266576,0.0235190193429323,0.0108917644764125,0.0348458439193749,0.000619022836957477,0.000293451098476534,0.000998823872383737,0.263157894736842,0.263157894736842,0.526315789473684,0.210526315789474,0.210526315789474,0.210526315789474,470942021168,1,0.00155530227499669,106
48,0.54,-132.565246011617,-134.094142784257,1.52889677264005,909,0.270045514,0.029645366,0.000950788,673,22,0.697916666666667,0.238172719681452,0.155832144788908,0.310219334553412,0.0323323148682132,0.0181507513486738,0.0446072483526962,0.000995074965218563,0.000578620822214744,0.00143176209194093,0.526315789473684,0.473684210526316,0.684210526315789,0.421052631578947,0.736842105263158,0.842105263157894,382784222542,1,0.0114016670743023,106
49,0.253999999999999,-276.531231120231,-281.381772935684,4.85054181545337,2486,0.171275513,0.022428988,0.001071692,1023,49,0.325301204819277,0.214424579011552,0.135612019238693,0.264058507581801,0.023895350571646,0.0128991734991373,0.0346511779152439,0.00109318667903442,0.000661796019935928,0.00159356278609217,0.105263157894737,0.631578947368421,0.736842105263158,0.157894736842105,0.842105263157894,0.947368421052631,920817381875,1,0.017238294310421,99
50,0.451,-284.677965266818,-280.265174712434,4.41279055438406,2055,0.15214843,0.033031322,0.001057174,1535,49,0.462365591397849,0.184211044802113,0.132355088519028,0.258597618074345,0.0162618667795594,0.00757462036602612,0.0244798791726418,0.000483015394767765,3.84895202736131e-05,0.000770308284135352,0.894736842105263,0,0,0.368421052631579,0,0,682580766000,1,0.0157450548713796,99
51,0.5065,-447.727247632962,-447.640039954466,0.0872076784958153,3601,0.086047949,0.013336271,0.00077372,1325,77,0.278350515463918,0.154887479245058,0.104227061765037,0.208652421114543,0.0143012273231478,0.00827459606675339,0.0210632229376114,0.000787035125172386,0.000441242770040976,0.00116684860315625,0,0.631578947368421,0.789473684210526,0,0.789473684210526,0.947368421052631,635943579875,2,0.000194816528263839,106
53,0.678,-80.0550186394896,-79.6259989927112,0.4290196467784,973,0.189665213,0.007960892,0.000328446,273,11,0.848484848484849,0.151427009457123,0.0777503918352286,0.232331856069627,0.014009681392497,0.00638942764451712,0.0265239884611632,0.000547241410510516,0.000132480947654735,0.000922723544889507,0.263157894736842,0.789473684210526,0.578947368421053,0.31578947368421,0.31578947368421,0.368421052631579,379923234709,2,0.00538793424516622,113
