"Rep","Gamma_ESS","Psi_ESS","Phi_ESS","InitialBeta_ESS","RunTime"
255,4.12029896915732,4.75419111825845,6.33892149101127,4.91266415553373,6.31022170833333
256,7.11846216135146,6.0062024486403,5.78375050609807,8.6756257591471,4.49535296735
257,5.47460186829602,6.11867267633085,5.95765497432214,5.79663727231344,6.21049727778333
258,7.92479999339718,7.13231999405747,6.93419999422254,5.94359999504789,5.04744599653333
259,1.04332103547203,0.922937839071409,0.963065571204948,1.04332103547203,24.9204215347167
260,8.80628710234941,6.12611276685177,6.50899481478,7.08331788667236,5.22354080276667
261,3.82863981478877,2.65877764915887,2.55242654319251,3.5095864968897,9.40281712083333
262,6.50727278339183,7.50839167314442,6.50727278339183,6.75755250582998,3.99552944305
263,6.20698107650181,5.00006808940423,6.20698107650181,4.82765194839029,5.79992101736667
264,3.73864985151235,4.25432569310026,4.51216361389422,3.4808119307184,7.75681092153333
265,3.34653468986673,3.34653468986673,3.17491752628383,3.43234327165819,11.6538460270833
266,7.5229637881903,7.27219832858395,6.26913649015858,7.77372924779664,3.98779003125
267,4.43042890258734,3.43000947297084,3.57292653434463,4.14459477983977,6.99706522361667
268,6.60056631593191,6.03480348885203,7.35491675203841,5.8462158798254,5.3025753132
269,2.5710732657638,2.79145097425784,2.35069555726976,2.2037770849404,13.6129920784667
270,8.03440053568919,8.57002723806847,10.9803473987752,10.1769073452063,3.73394379166667
271,8.96429917847072,7.17143934277658,6.49911690439127,6.72322438385304,4.46214469236667
272,3.16322894415157,2.74146508493136,2.63602412012631,4.53396148661725,9.4839799868
273,4.82955808819059,5.66948123396287,5.66948123396287,6.29942359329208,4.76234048333333
274,4.05081583572963,4.72595180835124,5.06351979466204,4.72595180835124,5.92473244236667
275,6.83616022689945,6.38041621177282,7.06403223446276,5.69680018908288,4.38842844583333
276,4.24582063964784,4.24582063964784,4.24582063964784,4.67040270361262,7.06577186041667
277,5.43121939192595,7.70882752402394,7.35842627293194,5.78162064301795,5.70774217776667
278,8.2783629702628,8.2783629702628,9.3581494446449,8.2783629702628,2.77832707778333
279,8.80279967690951,8.04827399031727,7.04223974152761,7.29374830372502,3.97600777986667
280,7.57814991615351,5.78332493601189,5.18504994263135,6.18217493159892,5.01441650276667
281,6.14141166827497,8.39326261330912,8.59797633558496,7.36969400192996,4.88487038818333
282,0.986629790638131,0.913546102442714,0.913546102442714,0.877004258345006,27.3658876472167
283,4.65971427424775,5.03249141618757,6.15082284200703,6.70998855491676,5.36513582778333
284,5.3897054280359,4.61974750974506,5.19721594846319,4.81223698931777,5.19508911458333
285,2.85415291481932,4.3304389052431,5.11779143346912,2.95257198084757,10.1606328972167
286,2.12735152038909,2.29753964202022,1.95716339875797,2.97829212854473,11.751701475
287,7.1087777242031,6.53239034115961,7.87729423492776,6.34026121347844,5.204832875
288,5.43157913051331,5.43157913051331,5.43157913051331,7.08466843110432,4.23449598125
289,5.8273510585857,4.94441908001211,4.76783268429739,8.12297420287703,5.6629503986
290,5.64472292234724,4.76273496573048,4.93913255705383,5.11553014837718,5.66901164861667
291,5.77130206164607,5.38654859086966,6.34843226781067,5.38654859086966,5.19813374513333
292,5.70968137989204,5.07527233768181,5.70968137989204,5.4982116991553,4.72881027916667
293,4.62429118522808,3.98645791830007,4.94320781869208,5.10266613542408,6.27123138193333
294,7.11499734702136,6.88548130356905,6.88548130356905,6.42644921666445,4.35699389445
295,6.64128649749088,4.9335271124218,5.88228232634907,7.96954379698906,5.27006326458333
296,6.16844725713857,4.93475780571086,5.46348185632274,5.46348185632274,5.67403732916667
297,7.26362556766665,6.79500456330106,7.73224657203224,10.0753515938602,4.2678411368
298,7.02676414053107,6.07720141883768,5.12763869714429,4.93772615280561,5.26558160485
299,3.43694296649619,5.15541444974428,7.2704562752804,4.23008365107223,7.56486222013333
300,3.63951644560774,4.06769485097336,3.53247184426634,3.74656104694914,9.3419003618
301,0.387047836429594,0.508691442164609,0.67456908634872,0.309638269143675,90.4280988181333
302,0.455462708323981,0.414057007567255,0.414057007567255,0.414057007567255,72.4537912696167
303,1.24652586027952,0.858717814859227,1.44042988298967,1.46813045766255,36.10033408365
304,0.772451981413101,0.772451981413101,0.82073023025142,0.675895483736463,41.42652329205
305,1.02248945755165,1.51724242088309,1.58320948266061,0.95652239577412,30.3181610050333
306,0.758103233774671,0.804048884306469,0.78107605904057,0.758103233774671,43.5296916433
307,0.703733005498297,1.45959438177425,1.19895252788599,0.886182303220078,38.3668234814167
308,1.20049506824346,1.30339464552147,1.02899577278011,0.994695913687441,29.1546387201833
309,0.367897654493119,0.398555792367546,0.383226723430333,0.398555792367546,65.2355341407833
310,0.64637674078936,0.834903290186256,0.8079709259867,0.754106197587586,37.1300489103167
311,0.908616263289531,0.79137545512314,0.937926465331129,0.937926465331129,34.1178132645
312,1.67241575122948,1.55004386699317,1.22371884236303,2.36585642856853,24.5154352139167
313,1.02374584934292,1.13343290462966,1.2431199599164,0.950621145818426,27.3505382395167
314,1.16160557377656,1.41052105387154,1.49349288056987,1.61795062061736,24.1045675331667
315,0.952965245539548,0.98099363511424,1.23324914128647,0.840851687240778,35.6781111999
316,1.70140280293883,1.20099021383917,1.451196508389,1.80148532075876,19.9835100431667
317,1.35971748037989,1.31585562617408,1.6228886056147,1.31585562617408,22.7988537672833
318,1.54151394748352,0.816095619255982,0.876547146608277,1.36015936542664,33.08435845375
319,1.05313165460304,1.17464684551878,1.05313165460304,1.01262659096446,24.6882712967167
320,0.38835651533907,0.474657963192197,0.431507239265634,0.431507239265634,69.52374669555
321,3.24320257513669,3.02698907012758,3.24320257513669,2.4864553076048,9.25011599028333
322,1.92213483475297,1.45458852359684,1.61043729398222,1.97408442488143,19.2494300249
323,1.59351234800079,1.21410464609584,1.74527542876277,1.06234156533386,26.3568713808167
324,1.04060628982897,1.04060628982897,1.08585004156067,1.08585004156067,22.1024994993833
325,0.712956555069428,0.646116878031669,0.62383698568575,0.62383698568575,44.8835202825
326,4.57922010894094,5.6893340747448,4.57922010894094,4.71798435466642,7.20646730555
327,0.417108878832319,0.341270900862807,0.328631237867888,0.341270900862807,79.11603342605
328,1.32183170560142,1.4870606688016,1.65228963200178,1.43198434773487,18.1566230393
329,1.01901327415367,0.89770217008776,1.18884881984595,0.703604403582299,41.2163423826667
330,1.75715362413091,1.06246498203264,1.34851324642604,1.14419305757361,24.47139476565
331,2.4344853738055,1.48186066231639,2.01109661314368,1.79940223281276,18.8951638383
332,1.93239994335565,1.54591995468452,2.89859991503348,1.83577994618787,20.69964871275
333,1.4874969381319,1.43791370686084,1.63624663194509,1.38833047558978,20.1681087409
334,1.72593910460662,1.66840780111973,1.89853301506728,3.56694081618702,17.3818415261167
335,1.74753964625005,1.65792222849364,2.10600931727571,1.3442612663462,22.3170902495333
