"","Rep","True_Beta","Mean_Beta","Lower95_Beta","Upper95_Beta"
"15428",230,0.357950298247672,0.29982898547556,0.195966588904036,0.42562610676
"45680",664,0.286789669366846,0.286497410157105,0.206487173880899,0.378022082218619
"33510",490,0.0483088556395812,0.0807957207312458,0.000773809894518717,0.166981776879749
"13316",197,0.31708841647097,0.285812242442603,0.181296442399055,0.385443420302207
"17331",258,0.34265408040565,0.315672904480993,0.179285045804449,0.469304406876218
"39710",581,0.270498558322267,0.290645651694392,0.202014816515161,0.372145275470057
"7420",117,0.127534741547259,0.20046530935705,0.117344426493434,0.279938093553789
"46562",676,0.0799698944118701,0.320442573165101,0.220849470853931,0.403809485661343
"22725",339,0.294006905877516,0.416468633141688,0.264875430357177,0.551329217115042
"3058",59,0.342445108532595,0.36428164634425,0.229767188929929,0.482561727424604
"18514",277,0.29633140912634,0.288160657988334,0.208928128148476,0.397233109032053
"20151",303,0.311678554178389,0.356145574918553,0.22418267967151,0.486451846678911
"47923",695,0.323457687567945,0.264410315121545,0.143249407933414,0.391632787575427
"256",5,0.00934984699172914,0.0895020863736404,0.000448757832442623,0.176051979135407
"14227",211,0.0657548647382817,0.0961836440592262,0.00374852711424487,0.197626151572791
"10534",158,0.0418363317627867,0.0742754366730506,0.000986869620759133,0.192416190201172
"10149",154,0.23413458137076,0.175370514549873,0.0901283489819413,0.267484964637603
"6169",101,0.224779455046687,0.198103103137912,0.0986974073472239,0.309886362639047
"28931",421,0.0817505316001607,0.060556730908284,0.000142957437316224,0.136513522284076
"4276",79,0.0116830967464544,0.0575780188114854,8.97335665567896e-06,0.123179644581713
"7870",123,0.351399618183434,0.370354182245905,0.271332743783558,0.479574339250006
"11015",164,0.0899538039548218,0.0797554865260312,0.00119311910104317,0.191874559777315
"26201",387,0.208443688789281,0.204087473310891,0.130375868509747,0.284396667364691
"26587",391,0.0275393109455388,0.15905864645103,0.0935447701090473,0.23702793255023
"13752",202,0.0105506452202615,0.0679951948007658,6.73092887203547e-05,0.179238854842507
"5395",91,0.077807650408557,0.0884429229612009,0.00865517448067081,0.169862141818433
"39861",582,0.0142182269268661,0.0533402913589071,0.000439283069030774,0.135893881252943
"45987",668,0.410606168620189,0.489079246754959,0.389739434271528,0.615939071751974
"34027",498,0.276350630872148,0.279253025858153,0.211404487970793,0.353491592187809
"7518",118,0.13752478319387,0.107445543513792,0.0404741677219725,0.192570020462617
"24544",365,0.302526636393558,0.311726947399202,0.208369147642579,0.410372813662359
"45548",662,0.00597889777750153,0.0428145779382225,0.00012325436534711,0.0961589330057579
"34574",510,0.345088645971813,0.397676000333011,0.271638545603652,0.583875381719967
"32776",476,0.146902203412071,0.204193640316916,0.139226417641735,0.279124999142199
"33578",491,0.165947756642526,0.140168461708152,0.0156774967876679,0.291022446066903
"38889",572,0.160452810386226,0.0622236276201825,0.00116420646587182,0.141715800345809
"21153",315,0.130316880929084,0.203292155406212,0.131851222271858,0.275697118298195
