"Rep","Acceptance","Likelihood1","Likelihood2","LikelihoodDelta","TruePeak","TrueGamma","TruePhi","TruePsi","Cases","TreeSize","PercentTrajCaptured","GammaMean","GammaLower95","GappaUpper95","PhiMean","PhiLower95","PhiUpper95","PsiMean","PsiLower95","PsiUpper95","GammaCalibration1","PhiCalibration1","PsiCalibration1","GammaCalibration2","PhiCalibration2","PsiCalibration2","RunTime","Batch"
176,0.439499999999999,-189.65190143652,-189.331690058018,0.320211378501313,1249,0.158949952,0.01331155,0.000708911,576,31,0.96,0.157911309760302,0.157911309760302,0.157911309760302,0.016542924166666,0.016542924166666,0.016542924166666,0.000917054391466957,0.000917054391466957,0.000917054391466957,0.473684210526316,0.736842105263158,0.684210526315789,1,0.578947368421053,0.526315789473684,305477671208,"3"
177,0.476499999999999,-212.156298266196,-211.420569053063,0.735729213132686,1133,0.178148069,0.024748341,0.000998085,907,37,0.448979591836735,0.194244628933338,0.194244628933338,0.194244628933338,0.0284625290773103,0.0284625290773103,0.0284625290773103,0.00104100838419174,0.00104100838419174,0.00104100838419174,0.684210526315789,0.631578947368421,0.631578947368421,0.578947368421053,0.526315789473684,0.894736842105263,333709146792,"3"
178,0.392,-477.112401166477,-478.389561289518,1.27716012304069,2989,0.095468103,0.024812438,0.001071541,1914,83,0.229166666666667,0.146460667528258,0.146460667528258,0.146460667528258,0.0262305690632236,0.0262305690632236,0.0262305690632236,0.00111583226265446,0.00111583226265446,0.00111583226265446,0,0.894736842105263,0.842105263157894,0.0526315789473684,0.736842105263158,0.842105263157894,496508670542,"3"
179,0.485000000000001,-167.320139861706,-166.440578950081,0.879560911625362,1049,0.176805553,0.021946806,0.000795026,753,27,0.73469387755102,0.170583694714598,0.170583694714598,0.170583694714598,0.0221803080337045,0.0221803080337045,0.0221803080337045,0.000902174232719303,0.000902174232719303,0.000902174232719303,0.578947368421053,0.894736842105263,0.631578947368421,0.894736842105263,1,0.736842105263158,304689520542,"3"
180,0.441,-295.619907030646,-296.223540490574,0.603633459928687,2433,0.110060166,0.025548434,0.000790247,1722,53,0.363636363636364,0.164940065110101,0.164940065110101,0.164940065110101,0.0289723126015217,0.0289723126015217,0.0289723126015217,0.000837957829342845,0.000837957829342845,0.000837957829342845,0,0.631578947368421,0.894736842105263,0.157894736842105,0.473684210526316,0.789473684210526,408050237750,"3"
181,0.190000000000001,-545.325515474756,-547.582882563586,2.25736708882971,2476,0.122251393,0.025314246,0.001588688,1511,95,0.247422680412371,0.147658170311877,0.147658170311877,0.147658170311877,0.013518246207558,0.013518246207558,0.013518246207558,0.000890806248815556,0.000890806248815556,0.000890806248815556,0.210526315789474,0,0,0.157894736842105,0,0,474485027250,"3"
182,0.506500000000001,-569.795741921035,-570.516167960335,0.72042603930015,2220,0.106489521,0.036806443,0.00159241,2253,98,0.214285714285714,0.203443430596933,0.203443430596933,0.203443430596933,0.0248217108782088,0.0248217108782088,0.0248217108782088,0.00108398115072158,0.00108398115072158,0.00108398115072158,0,0,0,0,0,0,460474208666,"3"
183,0.632,-125.850787098887,-125.867787138897,0.0170000400099184,714,0.199149655,0.008679806,0.000702258,248,20,0.571428571428571,0.184941939707637,0.184941939707637,0.184941939707637,0.0118739959541325,0.0118739959541325,0.0118739959541325,0.000778197133918903,0.000778197133918903,0.000778197133918903,0.421052631578947,0.31578947368421,0.736842105263158,0.684210526315789,0.31578947368421,0.789473684210526,257401418917,"3"
184,0.3585,-541.340767581801,-539.611544908402,1.72922267339959,3062,0.100364596,0.017502853,0.00118219,1366,92,0.223404255319149,0.165049547371013,0.165049547371013,0.165049547371013,0.0125909483445739,0.0125909483445739,0.0125909483445739,0.00084894912167077,0.00084894912167077,0.00084894912167077,0,0.105263157894737,0.210526315789474,0,0.157894736842105,0.157894736842105,507103893917,"3"
185,0.303000000000001,-1176.08336471167,-1177.02255824091,0.939193529240811,2911,0.085800701,0.030262329,0.002395584,2437,193,0.22,0.139248903237234,0.139248903237234,0.139248903237234,0.0216341690810477,0.0216341690810477,0.0216341690810477,0.00159444420536232,0.00159444420536232,0.00159444420536232,0,0,0,0,0,0,638664263000,"3"
186,0.5715,-224.585920114291,-223.936803095136,0.649117019155057,380,0.236929063,0.037524822,0.002394347,597,38,0.575757575757576,0.261901526455083,0.261901526455083,0.261901526455083,0.0268550320512136,0.0268550320512136,0.0268550320512136,0.00137728574760301,0.00137728574760301,0.00137728574760301,0.421052631578947,0,0,0.578947368421053,0,0,313795852500,"3"
187,0.251000000000001,-1494.42533818918,-1487.18564436516,7.23969382401788,4188,0.065826431,0.030502167,0.002378538,3058,239,0.27,0.181870895491611,0.181870895491611,0.181870895491611,0.0223991849381335,0.0223991849381335,0.0223991849381335,0.00155821760475864,0.00155821760475864,0.00155821760475864,0,0,0,0,0,0,813343082000,"3"
188,0.46,-666.172868666726,-667.272367644572,1.09949897784509,2130,0.12044526,0.028927478,0.001918565,1694,112,0.306930693069307,0.180213788997594,0.180213788997594,0.180213788997594,0.0276383612563514,0.0276383612563514,0.0276383612563514,0.00157835887298059,0.00157835887298059,0.00157835887298059,0.0526315789473684,0.473684210526316,0.263157894736842,0.105263157894737,0.736842105263158,0.157894736842105,486272332291,"3"
189,0.512,-252.13656460284,-196.021806630419,56.1147579724215,949,0.201978029,0.014071495,0.001102622,419,33,0.580645161290323,0.21850139399799,0.21850139399799,0.21850139399799,0.00912684583915485,0.00912684583915485,0.00912684583915485,0.000902564785783332,0.000902564785783332,0.000902564785783332,0.684210526315789,0.105263157894737,0.210526315789474,0.684210526315789,0.210526315789474,0.578947368421053,361983826625,"3"
190,0.311,-342.219332398278,-344.670159720273,2.45082732199518,766,0.161925055,0.04684577,0.001938756,1387,57,0.425742574257426,0.264737652287157,0.264737652287157,0.264737652287157,0.0360057887830955,0.0360057887830955,0.0360057887830955,0.00136737191056551,0.00136737191056551,0.00136737191056551,0,0.105263157894737,0,0,0.105263157894737,0,353863248375,"3"
191,0.4565,-149.198405942351,-148.591590340377,0.606815601973892,2543,0.123711059,0.016944401,0.000357932,1111,23,0.322916666666667,0.142058942924522,0.142058942924522,0.142058942924522,0.0288053859498937,0.0288053859498937,0.0288053859498937,0.000771132427435472,0.000771132427435472,0.000771132427435472,0.526315789473684,0,0,0.421052631578947,0,0.105263157894737,285282145166,"3"
192,0.5135,-215.022701407378,-214.933850359774,0.0888510476040665,895,0.198694189,0.024013341,0.001325132,658,36,0.53,0.193907449416709,0.193907449416709,0.193907449416709,0.0279255156164303,0.0279255156164303,0.0279255156164303,0.00137648303811529,0.00137648303811529,0.00137648303811529,0.631578947368421,0.368421052631579,0.789473684210526,0.947368421052631,0.526315789473684,0.894736842105263,299539134084,"3"
