"TrueBeta","TrueGamma","TruePsi","ModelBeta","ModelGamma","ModelPsi","AvgLikelihood"
0.23,0.12,0.03,0.23,0.0447,0.03,-545.3205
0.23,0.12,0.03,0.23,0.0484,0.03,-544.6336
0.23,0.12,0.03,0.23,0.052,0.03,-544.0764
0.23,0.12,0.03,0.23,0.0557,0.03,-543.5298
0.23,0.12,0.03,0.23,0.0594,0.03,-543.0168
0.23,0.12,0.03,0.23,0.0631,0.03,-542.5662
0.23,0.12,0.03,0.23,0.0667,0.03,-542.1966
0.23,0.12,0.03,0.23,0.0704,0.03,-541.7726
0.23,0.12,0.03,0.23,0.0741,0.03,-541.4687
0.23,0.12,0.03,0.23,0.0778,0.03,-541.345
0.23,0.12,0.03,0.23,0.0814,0.03,-541.0989
0.23,0.12,0.03,0.23,0.0851,0.03,-540.9741
0.23,0.12,0.03,0.23,0.0888,0.03,-540.8578
0.23,0.12,0.03,0.23,0.0924,0.03,-540.7354
0.23,0.12,0.03,0.23,0.0961,0.03,-540.7159
0.23,0.12,0.03,0.23,0.0998,0.03,-540.796
0.23,0.12,0.03,0.23,0.1035,0.03,-540.9502
0.23,0.12,0.03,0.23,0.1071,0.03,-541.1715
0.23,0.12,0.03,0.23,0.1108,0.03,-541.3793
0.23,0.12,0.03,0.23,0.1145,0.03,-541.6658
0.23,0.12,0.03,0.23,0.1182,0.03,-542.3469
0.23,0.12,0.03,0.23,0.12,0.0075,-583.099
0.23,0.12,0.03,0.23,0.12,0.0084,-577.2822
0.23,0.12,0.03,0.23,0.12,0.0093,-572.3721
0.23,0.12,0.03,0.23,0.12,0.0103,-568.2012
0.23,0.12,0.03,0.23,0.12,0.0112,-564.4588
0.23,0.12,0.03,0.23,0.12,0.0121,-561.2216
0.23,0.12,0.03,0.23,0.12,0.013,-558.4731
0.23,0.12,0.03,0.23,0.12,0.0139,-555.9213
0.23,0.12,0.03,0.23,0.12,0.0148,-553.7751
0.23,0.12,0.03,0.23,0.12,0.0158,-551.8218
0.23,0.12,0.03,0.23,0.12,0.0167,-549.9592
0.23,0.12,0.03,0.23,0.12,0.0176,-548.4327
0.23,0.12,0.03,0.23,0.12,0.0185,-546.989
0.23,0.12,0.03,0.23,0.12,0.0194,-545.6722
0.23,0.12,0.03,0.23,0.12,0.0204,-544.5092
0.23,0.12,0.03,0.23,0.12,0.0213,-543.541
0.23,0.12,0.03,0.23,0.12,0.0222,-542.575
0.23,0.12,0.03,0.23,0.12,0.0231,-541.779
0.23,0.12,0.03,0.23,0.12,0.024,-541.0379
0.23,0.12,0.03,0.23,0.12,0.0249,-540.3289
0.23,0.12,0.03,0.23,0.12,0.0259,-539.7153
0.23,0.12,0.03,0.23,0.12,0.0268,-539.2117
0.23,0.12,0.03,0.23,0.12,0.0277,-538.6694
0.23,0.12,0.03,0.23,0.12,0.0286,-538.3093
0.23,0.12,0.03,0.23,0.12,0.0295,-537.9882
0.23,0.12,0.03,0.23,0.12,0.0305,-537.6236
0.23,0.12,0.03,0.23,0.12,0.0314,-537.3834
0.23,0.12,0.03,0.23,0.12,0.0323,-537.1788
0.23,0.12,0.03,0.23,0.12,0.0332,-536.9506
0.23,0.12,0.03,0.23,0.12,0.0341,-536.8248
0.23,0.12,0.03,0.23,0.12,0.0351,-536.7207
0.23,0.12,0.03,0.23,0.12,0.036,-536.5884
0.23,0.12,0.03,0.23,0.12,0.0369,-536.621
0.23,0.12,0.03,0.23,0.12,0.0378,-536.5578
0.23,0.12,0.03,0.23,0.12,0.0387,-536.6374
0.23,0.12,0.03,0.23,0.12,0.0396,-536.6897
0.23,0.12,0.03,0.23,0.12,0.0406,-536.7066
0.23,0.12,0.03,0.23,0.12,0.0415,-536.748
0.23,0.12,0.03,0.23,0.12,0.0424,-536.8135
0.23,0.12,0.03,0.23,0.12,0.0433,-537.0091
0.23,0.12,0.03,0.23,0.12,0.0442,-537.1625
0.23,0.12,0.03,0.23,0.12,0.0452,-537.3433
0.23,0.12,0.03,0.23,0.12,0.0461,-537.5136
0.23,0.12,0.03,0.23,0.12,0.047,-537.7039
0.23,0.12,0.03,0.23,0.12,0.0479,-537.9773
0.23,0.12,0.03,0.23,0.12,0.0488,-538.2204
0.23,0.12,0.03,0.23,0.12,0.0497,-538.4639
0.23,0.12,0.03,0.23,0.12,0.0507,-538.6997
0.23,0.12,0.03,0.23,0.12,0.0516,-538.9691
0.23,0.12,0.03,0.23,0.12,0.0525,-539.2987
0.23,0.12,0.03,0.23,0.1218,0.03,-543.5359
0.23,0.12,0.03,0.23,0.1255,0.03,-544.9391
0.23,0.12,0.03,0.23,0.1292,0.03,-546.8447
0.23,0.12,0.03,0.23,0.1329,0.03,-548.3764
0.23,0.12,0.03,0.23,0.1365,0.03,-552.2502
0.23,0.12,0.03,0.23,0.1402,0.03,-555.937
0.23,0.12,0.03,0.23,0.1439,0.03,-559.3412
0.23,0.12,0.03,0.23,0.1476,0.03,-566.2612
0.23,0.12,0.03,0.23,0.1512,0.03,-565.2601
0.23,0.12,0.03,0.23,0.1549,0.03,-572.1712
0.23,0.12,0.03,0.23,0.1586,0.03,-584.9506
0.23,0.12,0.03,0.23,0.1622,0.03,-593.5144
0.23,0.12,0.03,0.23,0.1659,0.03,-603.3806
0.23,0.12,0.03,0.23,0.1696,0.03,-606.38
0.23,0.12,0.03,0.23,0.1733,0.03,-611.5819
0.23,0.12,0.03,0.23,0.1769,0.03,-619.7727
0.23,0.12,0.03,0.23,0.1806,0.03,-625.6037
0.23,0.12,0.03,0.23,0.1843,0.03,-630.24
0.23,0.12,0.03,0.23,0.188,0.03,-633.0674
0.23,0.12,0.03,0.23,0.1916,0.03,-636.3694
0.23,0.12,0.03,0.23,0.1953,0.03,-642.1867
0.23,0.12,0.03,0.23,0.199,0.03,-647.1043
0.23,0.12,0.03,0.23,0.2027,0.03,-652.9989
0.23,0.12,0.03,0.23,0.2063,0.03,-657.1578
0.23,0.12,0.03,0.23,0.21,0.03,-660.9669
0.23,0.12,0.03,0.2335,0.12,0.03,-567.904
0.23,0.12,0.03,0.2406,0.12,0.03,-568.9811
0.23,0.12,0.03,0.2476,0.12,0.03,-570.2635
0.23,0.12,0.03,0.2546,0.12,0.03,-571.9717
0.23,0.12,0.03,0.2617,0.12,0.03,-573.8046
0.23,0.12,0.03,0.2687,0.12,0.03,-575.8989
0.23,0.12,0.03,0.2758,0.12,0.03,-578.377
0.23,0.12,0.03,0.2828,0.12,0.03,-581.2601
0.23,0.12,0.03,0.2898,0.12,0.03,-584.4967
0.23,0.12,0.03,0.2969,0.12,0.03,-588.4884
0.23,0.12,0.03,0.3039,0.12,0.03,-594.0552
0.23,0.12,0.03,0.311,0.12,0.03,-600.8751
0.23,0.12,0.03,0.318,0.12,0.03,-611.137
0.23,0.12,0.03,0.3251,0.12,0.03,-628.8432
0.23,0.12,0.03,0.3321,0.12,0.03,-662.7456
0.23,0.12,0.03,0.3391,0.12,0.03,-720.1084
0.23,0.12,0.03,0.3462,0.12,0.03,-822.5498
0.23,0.12,0.03,0.3532,0.12,0.03,-1001.786
0.23,0.12,0.03,0.3603,0.12,0.03,-1244.3674
0.23,0.12,0.03,0.3673,0.12,0.03,-1641.1889
0.23,0.12,0.03,0.3743,0.12,0.03,-2507.8457
0.23,0.12,0.03,0.3814,0.12,0.03,-4310.5128
0.23,0.12,0.03,0.3884,0.12,0.03,-4913.9279
0.23,0.12,0.03,0.3955,0.12,0.03,-6261.9769
0.23,0.12,0.03,0.4025,0.12,0.03,-7999.4541
0.23,0.12,0.05,0.23,0.12,0.0125,-555.6853
0.23,0.12,0.05,0.23,0.12,0.014,-549.2143
0.23,0.12,0.05,0.23,0.12,0.0156,-543.6854
0.23,0.12,0.05,0.23,0.12,0.0171,-539.0918
0.23,0.12,0.05,0.23,0.12,0.0186,-535.0343
0.23,0.12,0.05,0.23,0.12,0.0202,-531.2918
0.23,0.12,0.05,0.23,0.12,0.0217,-528.2083
0.23,0.12,0.05,0.23,0.12,0.0232,-525.3063
0.23,0.12,0.05,0.23,0.12,0.0247,-522.6039
0.23,0.12,0.05,0.23,0.12,0.0263,-520.6938
0.23,0.12,0.05,0.23,0.12,0.0278,-518.5256
0.23,0.12,0.05,0.23,0.12,0.0293,-516.6095
0.23,0.12,0.05,0.23,0.12,0.0309,-515.1241
0.23,0.12,0.05,0.23,0.12,0.0324,-513.5517
0.23,0.12,0.05,0.23,0.12,0.0339,-512.4711
0.23,0.12,0.05,0.23,0.12,0.0355,-511.1039
0.23,0.12,0.05,0.23,0.12,0.037,-510.2412
0.23,0.12,0.05,0.23,0.12,0.0385,-509.1385
0.23,0.12,0.05,0.23,0.12,0.0401,-508.2247
0.23,0.12,0.05,0.23,0.12,0.0416,-507.5947
0.23,0.12,0.05,0.23,0.12,0.0431,-506.9203
0.23,0.12,0.05,0.23,0.12,0.0446,-506.3314
0.23,0.12,0.05,0.23,0.12,0.0462,-505.7549
0.23,0.12,0.05,0.23,0.12,0.0477,-505.3086
0.23,0.12,0.05,0.23,0.12,0.0492,-504.9957
0.23,0.12,0.05,0.23,0.12,0.0508,-504.6603
0.23,0.12,0.05,0.23,0.12,0.0523,-504.3675
0.23,0.12,0.05,0.23,0.12,0.0538,-504.1141
0.23,0.12,0.05,0.23,0.12,0.0554,-503.8673
0.23,0.12,0.05,0.23,0.12,0.0569,-503.7167
0.23,0.12,0.05,0.23,0.12,0.0584,-503.5696
0.23,0.12,0.05,0.23,0.12,0.0599,-503.6229
0.23,0.12,0.05,0.23,0.12,0.0615,-503.5537
0.23,0.12,0.05,0.23,0.12,0.063,-503.5227
0.23,0.12,0.05,0.23,0.12,0.0645,-503.4816
0.23,0.12,0.05,0.23,0.12,0.0661,-503.6791
0.23,0.12,0.05,0.23,0.12,0.0676,-503.8143
0.23,0.12,0.05,0.23,0.12,0.0691,-503.7623
0.23,0.12,0.05,0.23,0.12,0.0707,-504.0717
0.23,0.12,0.05,0.23,0.12,0.0722,-504.1421
0.23,0.12,0.05,0.23,0.12,0.0737,-504.3187
0.23,0.12,0.05,0.23,0.12,0.0753,-504.6274
0.23,0.12,0.05,0.23,0.12,0.0768,-504.7602
0.23,0.12,0.05,0.23,0.12,0.0783,-505.0998
0.23,0.12,0.05,0.23,0.12,0.0798,-505.3559
0.23,0.12,0.05,0.23,0.12,0.0814,-505.658
0.23,0.12,0.05,0.23,0.12,0.0829,-506.0882
0.23,0.12,0.05,0.23,0.12,0.0844,-506.4515
0.23,0.12,0.05,0.23,0.12,0.086,-506.7715
0.23,0.12,0.05,0.23,0.12,0.0875,-507.1604
0.23,0.16,0.03,0.23,0.04,0.03,-12037.4996
0.23,0.16,0.03,0.23,0.0449,0.03,-8495.0121
0.23,0.16,0.03,0.23,0.0498,0.03,-6209.2729
0.23,0.16,0.03,0.23,0.0547,0.03,-4068.5992
0.23,0.16,0.03,0.23,0.0596,0.03,-2886.2171
0.23,0.16,0.03,0.23,0.0645,0.03,-2251.1062
0.23,0.16,0.03,0.23,0.0694,0.03,-1662.3543
0.23,0.16,0.03,0.23,0.0743,0.03,-1242.0809
0.23,0.16,0.03,0.23,0.0792,0.03,-1017.1092
0.23,0.16,0.03,0.23,0.0841,0.03,-879.0202
0.23,0.16,0.03,0.23,0.089,0.03,-792.1378
0.23,0.16,0.03,0.23,0.0939,0.03,-733.0136
0.23,0.16,0.03,0.23,0.0988,0.03,-692.2689
0.23,0.16,0.03,0.23,0.1037,0.03,-663.9215
0.23,0.16,0.03,0.23,0.1086,0.03,-641.3593
0.23,0.16,0.03,0.23,0.1135,0.03,-634.2519
0.23,0.16,0.03,0.23,0.1184,0.03,-630.9506
0.23,0.16,0.03,0.23,0.1233,0.03,-628.8262
0.23,0.16,0.03,0.23,0.1282,0.03,-627.247
0.23,0.16,0.03,0.23,0.1331,0.03,-625.7943
0.23,0.16,0.03,0.23,0.138,0.03,-624.6015
0.23,0.16,0.03,0.23,0.1429,0.03,-623.658
0.23,0.16,0.03,0.23,0.1478,0.03,-622.8586
0.23,0.16,0.03,0.23,0.1527,0.03,-622.1192
0.23,0.16,0.03,0.23,0.1576,0.03,-621.7575
0.23,0.16,0.03,0.23,0.1624,0.03,-621.3748
0.23,0.16,0.03,0.23,0.1673,0.03,-621.3909
0.23,0.16,0.03,0.23,0.1722,0.03,-621.2954
0.23,0.16,0.03,0.23,0.1771,0.03,-621.5644
0.23,0.16,0.03,0.23,0.182,0.03,-622.0811
0.23,0.16,0.03,0.23,0.1869,0.03,-622.5693
0.23,0.16,0.03,0.23,0.1918,0.03,-623.4606
0.23,0.16,0.03,0.23,0.1967,0.03,-624.6482
0.23,0.16,0.03,0.23,0.2016,0.03,-626.5083
0.23,0.16,0.03,0.23,0.2065,0.03,-628.3399
0.23,0.16,0.03,0.23,0.2114,0.03,-630.8118
0.23,0.16,0.03,0.23,0.2163,0.03,-633.9868
0.23,0.16,0.03,0.23,0.2212,0.03,-638.6682
0.23,0.16,0.03,0.23,0.2261,0.03,-641.5613
0.23,0.16,0.03,0.23,0.231,0.03,-654.2188
