"TrueBeta","TrueGamma","TruePsi","ModelBeta","ModelGamma","ModelPsi","BDSkyDensity"
0.23,0.08,0.03,0.23,0.14,0.03,-515.914670354597
0.23,0.12,0.01,0.23,0.12,0.0025,-610.133791016532
0.23,0.12,0.01,0.23,0.12,0.00280612244897959,-605.220733802554
0.23,0.12,0.01,0.23,0.12,0.00311224489795918,-601.106817020521
0.23,0.12,0.01,0.23,0.12,0.00341836734693878,-597.620118293022
0.23,0.12,0.01,0.23,0.12,0.00372448979591837,-594.636186627321
0.23,0.12,0.01,0.23,0.12,0.00403061224489796,-592.062382545073
0.23,0.12,0.01,0.23,0.12,0.00433673469387755,-589.828121294195
0.23,0.12,0.01,0.23,0.12,0.00464285714285714,-587.878550114255
0.23,0.12,0.01,0.23,0.12,0.00494897959183674,-586.170313115458
0.23,0.12,0.01,0.23,0.12,0.00525510204081633,-584.668633294077
0.23,0.12,0.01,0.23,0.12,0.00556122448979592,-583.345252432713
0.23,0.12,0.01,0.23,0.12,0.00586734693877551,-582.176945380641
0.23,0.12,0.01,0.23,0.12,0.0061734693877551,-581.144428290897
0.23,0.12,0.01,0.23,0.12,0.0064795918367347,-580.23154288329
0.23,0.12,0.01,0.23,0.12,0.00678571428571429,-579.424637805906
0.23,0.12,0.01,0.23,0.12,0.00709183673469388,-578.712093146336
0.23,0.12,0.01,0.23,0.12,0.00739795918367347,-578.083950513412
0.23,0.12,0.01,0.23,0.12,0.00770408163265306,-577.531622062196
0.23,0.12,0.01,0.23,0.12,0.00801020408163265,-577.04765930066
0.23,0.12,0.01,0.23,0.12,0.00831632653061225,-576.625567692918
0.23,0.12,0.01,0.23,0.12,0.00862244897959184,-576.259656719147
0.23,0.12,0.01,0.23,0.12,0.00892857142857143,-575.94491765613
0.23,0.12,0.01,0.23,0.12,0.00923469387755102,-575.676923226659
0.23,0.12,0.01,0.23,0.12,0.00954081632653061,-575.451744646316
0.23,0.12,0.01,0.23,0.12,0.00984693877551021,-575.265882618555
0.23,0.12,0.01,0.23,0.12,0.0101530612244898,-575.116209594221
0.23,0.12,0.01,0.23,0.12,0.0104591836734694,-574.999921189974
0.23,0.12,0.01,0.23,0.12,0.010765306122449,-574.914495101119
0.23,0.12,0.01,0.23,0.12,0.0110714285714286,-574.857656183533
0.23,0.12,0.01,0.23,0.12,0.0113775510204082,-574.827346642321
0.23,0.12,0.01,0.23,0.12,0.0116836734693878,-574.821700470208
0.23,0.12,0.01,0.23,0.12,0.0119897959183673,-574.839021440182
