"TrueBeta","TrueGamma","TruePsi","ModelBeta","ModelGamma","ModelPsi","BDSkyDensity"
0.23,0.16,0.03,0.23,0.186938775510204,0.03,-625.921543344176
0.23,0.16,0.03,0.23,0.191836734693878,0.03,-626.575398031046
0.23,0.16,0.03,0.23,0.196734693877551,0.03,-627.395051915612
0.23,0.16,0.03,0.23,0.201632653061224,0.03,-628.379600451247
0.23,0.16,0.03,0.23,0.206530612244898,0.03,-629.527823817497
0.23,0.16,0.03,0.23,0.211428571428571,0.03,-630.838195417714
0.23,0.16,0.03,0.23,0.216326530612245,0.03,-632.308893403709
0.23,0.16,0.03,0.23,0.221224489795918,0.03,-633.937814998229
0.23,0.16,0.03,0.23,0.226122448979592,0.03,-635.722593323129
0.23,0.16,0.03,0.23,0.231020408163265,0.03,-637.660616389542
0.23,0.16,0.03,0.23,0.235918367346939,0.03,-639.74904786799
0.23,0.16,0.03,0.23,0.240816326530612,0.03,-641.984849232229
0.23,0.16,0.03,0.23,0.245714285714286,0.03,-644.364802860856
0.23,0.16,0.03,0.23,0.250612244897959,0.03,-646.885535684759
0.23,0.16,0.03,0.23,0.255510204081633,0.03,-649.543542985058
0.23,0.16,0.03,0.23,0.260408163265306,0.03,-652.335211973482
0.23,0.16,0.03,0.23,0.26530612244898,0.03,-655.256844823018
0.23,0.16,0.03,0.23,0.270204081632653,0.03,-658.30468085878
0.23,0.16,0.03,0.23,0.275102040816326,0.03,-661.474917665025
0.23,0.16,0.03,0.23,0.28,0.03,-664.76373091198
0.27,0.12,0.03,0.0675,0.12,0.03,-645.174013464824
0.27,0.12,0.03,0.075765306122449,0.12,0.03,-630.492688465597
0.27,0.12,0.03,0.084030612244898,0.12,0.03,-617.248192217332
0.27,0.12,0.03,0.0922959183673469,0.12,0.03,-605.228348390429
0.27,0.12,0.03,0.100561224489796,0.12,0.03,-594.277687697358
0.27,0.12,0.03,0.108826530612245,0.12,0.03,-584.279074996673
0.27,0.12,0.03,0.117091836734694,0.12,0.03,-575.142030634475
0.27,0.12,0.03,0.125357142857143,0.12,0.03,-566.795010972706
0.27,0.12,0.03,0.133622448979592,0.12,0.03,-559.180141881523
0.27,0.12,0.03,0.141887755102041,0.12,0.03,-552.249534701514
0.27,0.12,0.03,0.15015306122449,0.12,0.03,-545.962659953954
0.27,0.12,0.03,0.158418367346939,0.12,0.03,-540.284450179358
0.27,0.12,0.03,0.166683673469388,0.12,0.03,-535.183918573348
0.27,0.12,0.03,0.174948979591837,0.12,0.03,-530.633150103674
0.27,0.12,0.03,0.183214285714286,0.12,0.03,-526.60656567099
0.27,0.12,0.03,0.191479591836735,0.12,0.03,-523.080388285104
0.27,0.12,0.03,0.199744897959184,0.12,0.03,-520.032259270733
0.27,0.12,0.03,0.208010204081633,0.12,0.03,-517.440965748865
0.27,0.12,0.03,0.216275510204082,0.12,0.03,-515.286250160286
0.27,0.12,0.03,0.224540816326531,0.12,0.03,-513.548679658165
0.27,0.12,0.03,0.23280612244898,0.12,0.03,-512.209558553951
0.27,0.12,0.03,0.241071428571429,0.12,0.03,-511.250871124997
0.27,0.12,0.03,0.249336734693878,0.12,0.03,-510.655245287589
0.27,0.12,0.03,0.257602040816327,0.12,0.03,-510.405930113918
0.27,0.12,0.03,0.265867346938776,0.12,0.03,-510.486782078866
0.27,0.12,0.03,0.274132653061224,0.12,0.03,-510.882256379968
0.27,0.12,0.03,0.282397959183673,0.12,0.03,-511.577400776017
0.27,0.12,0.03,0.290663265306122,0.12,0.03,-512.557850213246
0.27,0.12,0.03,0.298928571428571,0.12,0.03,-513.809821115035
0.27,0.12,0.03,0.30719387755102,0.12,0.03,-515.320104652015
0.27,0.12,0.03,0.315459183673469,0.12,0.03,-517.076058624175
0.27,0.12,0.03,0.323724489795918,0.12,0.03,-519.065597806378
0.27,0.12,0.03,0.331989795918367,0.12,0.03,-521.27718275793
0.27,0.12,0.03,0.340255102040816,0.12,0.03,-523.699807194001
0.27,0.12,0.03,0.348520408163265,0.12,0.03,-526.322984075864
0.27,0.12,0.03,0.356785714285714,0.12,0.03,-529.136730608946
0.27,0.12,0.03,0.365051020408163,0.12,0.03,-532.131552350294
0.27,0.12,0.03,0.373316326530612,0.12,0.03,-535.298426626562
0.27,0.12,0.03,0.381581632653061,0.12,0.03,-538.628785454266
0.27,0.12,0.03,0.38984693877551,0.12,0.03,-542.114498139325
0.27,0.12,0.03,0.398112244897959,0.12,0.03,-545.747853715082
0.27,0.12,0.03,0.406377551020408,0.12,0.03,-549.521543358966
0.27,0.12,0.03,0.414642857142857,0.12,0.03,-553.428642908789
0.27,0.12,0.03,0.422908163265306,0.12,0.03,-557.462595581339
0.27,0.12,0.03,0.431173469387755,0.12,0.03,-561.617194978828
0.27,0.12,0.03,0.439438775510204,0.12,0.03,-565.88656845319
0.27,0.12,0.03,0.447704081632653,0.12,0.03,-570.265160884459
0.27,0.12,0.03,0.455969387755102,0.12,0.03,-574.747718917223
0.27,0.12,0.03,0.464234693877551,0.12,0.03,-579.329275688724
0.27,0.12,0.03,0.4725,0.12,0.03,-584.005136073112
