"","TrueBeta","TrueGamma","TruePsi","ModelBeta","ModelGamma","ModelPsi","BDSkyDensity","AvgLikelihood","VaryingParam"
"128",0.23,0.12,0.01,0.23,0.12,0.0108,-574.9145,-590.8976,"Psi"
"129",0.23,0.12,0.01,0.23,0.12,0.0111,-574.8577,-590.6368,"Psi"
"130",0.23,0.12,0.01,0.23,0.12,0.0114,-574.8273,-590.798,"Psi"
"131",0.23,0.12,0.01,0.23,0.12,0.0117,-574.8217,-590.4021,"Psi"
"132",0.23,0.12,0.01,0.23,0.12,0.012,-574.839,-589.9856,"Psi"
"133",0.23,0.12,0.01,0.23,0.12,0.0123,-574.8778,-590.2176,"Psi"
"134",0.23,0.12,0.01,0.23,0.12,0.0126,-574.9365,-589.8508,"Psi"
"135",0.23,0.12,0.01,0.23,0.12,0.0129,-575.014,-589.7986,"Psi"
"136",0.23,0.12,0.01,0.23,0.12,0.0132,-575.109,-589.8706,"Psi"
"137",0.23,0.12,0.01,0.23,0.12,0.0135,-575.2205,-589.7018,"Psi"
"138",0.23,0.12,0.01,0.23,0.12,0.0138,-575.3474,-589.4639,"Psi"
"139",0.23,0.12,0.01,0.23,0.12,0.0141,-575.4888,-589.6449,"Psi"
"140",0.23,0.12,0.01,0.23,0.12,0.0144,-575.6439,-589.6219,"Psi"
"141",0.23,0.12,0.01,0.23,0.12,0.0147,-575.8119,-589.564,"Psi"
"142",0.23,0.12,0.01,0.23,0.12,0.0151,-575.992,-589.5665,"Psi"
"143",0.23,0.12,0.01,0.23,0.12,0.0154,-576.1836,-589.534,"Psi"
"144",0.23,0.12,0.01,0.23,0.12,0.0157,-576.3861,-589.7896,"Psi"
"145",0.23,0.12,0.01,0.23,0.12,0.016,-576.5988,-589.6942,"Psi"
"146",0.23,0.12,0.01,0.23,0.12,0.0163,-576.8212,-589.8925,"Psi"
"147",0.23,0.12,0.01,0.23,0.12,0.0166,-577.0529,-590.0705,"Psi"
