"Approach","Scenario","Parameter","Mean","HPD Interval","Rhat","ESS"
"Medium Observation Noise","Epi","betaJitter",0.07754,"0.04893,0.09779",1.0202,95
"Medium Observation Noise","Phylo","gamma",0.12454,"0.06349,0.20497",1.016,120
"Medium Observation Noise","Phylo","psi",0.00136,"0.00066,0.00222",1.0161,119
"Medium Observation Noise","Phylo","initialBeta",0.41306,"0.25878,0.59072",1.0097,194
"Medium Observation Noise","Phylo","betaJitter",0.0248,"0.01416,0.04088",1.0134,143
"Medium Observation Noise","Combined","gamma",0.19175,"0.15215,0.2416",1.0169,113
"Medium Observation Noise","Combined","psi",0.00082,"0.00049,0.001",1.0181,106
"Medium Observation Noise","Combined","phi",0.01734,"0.01162,0.02214",1.0188,102
"Medium Observation Noise","Combined","initialBeta",0.3894,"0.21129,0.56742",1.0195,99
"Medium Observation Noise","Combined","betaJitter",0.06049,"0.03895,0.09378",1.0196,98
"High Observation Noise","Epi","gamma",0.19054,"0.13154,0.28195",1.0206,94
"High Observation Noise","Epi","phi",0.01731,"0.00662,0.02576",1.0206,93
"High Observation Noise","Epi","initialBeta",0.54574,"0.29697,0.8262",1.0207,93
"High Observation Noise","Epi","betaJitter",0.07475,"0.05994,0.09994",1.0206,93
"High Observation Noise","Phylo","gamma",0.15886,"0.10921,0.21915",1.0171,112
"High Observation Noise","Phylo","psi",0.00107,"7e-04,0.00148",1.0155,123
"High Observation Noise","Phylo","initialBeta",0.43267,"0.26387,0.59642",1.0156,123
"High Observation Noise","Phylo","betaJitter",0.02806,"0.01735,0.05439",1.0165,116
"High Observation Noise","Combined","gamma",0.20276,"0.12347,0.31964",1.0206,94
"High Observation Noise","Combined","psi",0.00101,"0.00036,0.0015",1.0206,93
"High Observation Noise","Combined","phi",0.01973,"0.00939,0.0327",1.0207,93
"High Observation Noise","Combined","initialBeta",0.54659,"0.33935,0.80186",1.0206,93
"High Observation Noise","Combined","betaJitter",0.07477,"0.05603,0.09674",1.0207,93
