"Rep","TruePeak","Cases","TreeSize","TrueGamma","TruePhi","TruePsi","GammaMean","PhiMean","PsiMean","RunTime"
280,1679,541,36,0.169012734,0.01235895,0.000820041,0.169321419888586,0.0144214837362716,0.000908488433455873,5.01441650276667
281,986,952,46,0.184819839,0.03140925,0.001519314,0.181553608694935,0.02366254745084,0.00102584807196119,4.88487038818333
283,2394,1485,26,0.106520433,0.021736575,0.000381615,0.158787549602556,0.0232535422118714,0.000401952580210983,5.36513582778333
285,3124,2877,145,0.089374571,0.040939604,0.002067524,0.203064500103532,0.0296776933402947,0.00142618757449553,10.1606328972167
287,1339,851,37,0.178148069,0.021946806,0.000961983,0.1821443003492,0.0252073069699716,0.00105555303218765,5.204832875
289,2539,888,24,0.109517121,0.012086684,0.00032343,0.165135928643106,0.0127485030530862,0.000380967717819466,5.6629503986
290,2128,1204,47,0.144121987,0.024320056,0.000942954,0.208657661100905,0.0222388142388149,0.000864161440995648,5.66901164861667
291,2302,1451,30,0.119016289,0.023780187,0.000488383,0.180500470808785,0.0321134244296187,0.000639191095512434,5.19813374513333
293,3303,2062,48,0.07784142,0.022407308,0.000522052,0.189619399496048,0.0277854740857381,0.0008450408773503,6.27123138193333
294,171,169,16,0.215993775,0.027718763,0.002673912,0.230117380857144,0.0229242146652471,0.00118413784305403,4.35699389445
295,869,922,30,0.18642197,0.031133718,0.001022747,0.165944009813948,0.0256940790017638,0.000821957123065821,5.27006326458333
296,2944,1232,38,0.106679994,0.017047762,0.00051895,0.167219970438758,0.0203242764289393,0.000742208280952163,5.67403732916667
297,182,277,8,0.257605972,0.03289848,0.000994099,0.162569283367955,0.0233223910034955,0.00092044372749683,4.2678411368
300,3692,2559,135,0.073976837,0.02676005,0.001407168,0.132076609054978,0.0266845517501204,0.00133647382690654,9.3419003618
302,2667,3223,260,0.064428771,0.036638624,0.002951776,0.163374889675973,0.029202252490809,0.00236434341496484,72.4537912696167
303,547,1198,71,0.154148743,0.062785171,0.003698592,0.273108239597325,0.0451131930569977,0.00244687872195364,36.10033408365
304,1920,3101,98,0.070977984,0.045496148,0.00143655,0.220788512629548,0.0393003376687396,0.00131695735360502,41.42652329205
305,954,964,53,0.193695316,0.030800441,0.001688113,0.188462903446663,0.0383405152369644,0.00216559041917906,30.3181610050333
306,2684,1597,110,0.108695443,0.022506346,0.001543875,0.146585407928138,0.0244457725649812,0.00171573542758593,43.5296916433
307,1165,1521,91,0.146943799,0.03899008,0.002318551,0.196708878035189,0.0403538448767272,0.00217873588936435,38.3668234814167
308,512,733,36,0.15857872,0.043990094,0.002154403,0.222846946026257,0.0443756840015666,0.0022095599544507,29.1546387201833
311,4034,3305,56,0.057118579,0.029921629,0.000507861,0.154006358648748,0.0391780019959309,0.000771949482767471,34.1178132645
312,841,483,24,0.178968303,0.016186149,0.000805331,0.152978667031557,0.0322552121015638,0.00169642121044333,24.5154352139167
313,645,803,43,0.180684058,0.035071646,0.001872823,0.201593661248464,0.0386671308603387,0.00214216620745015,27.3505382395167
314,674,759,28,0.19559727,0.030148215,0.001108324,0.136228199636143,0.0393409363017976,0.00167981412037732,24.1045675331667
315,1480,2032,85,0.113327769,0.043210649,0.001815288,0.186114269622889,0.0406377767391345,0.00172971376419029,35.6781111999
317,238,311,12,0.148720874,0.040611061,0.001581442,0.209875574664682,0.0426470137906108,0.00161547474656258,22.7988537672833
318,1717,1509,62,0.101047534,0.024626722,0.001014269,0.189179703843924,0.022543159431018,0.000975736546350432,33.08435845375
320,2961,5171,286,0.047829657,0.060240339,0.003329494,0.176244923607349,0.0458300475020111,0.00253636948017462,69.52374669555
322,274,233,8,0.211301382,0.018637299,0.000625378,0.159574270052965,0.0352965561233347,0.00186902031179441,19.2494300249
323,998,1544,45,0.136225307,0.04738184,0.001376701,0.240495725893005,0.0447070139379714,0.00139850361898875,26.3568713808167
325,4667,4925,125,0.027772232,0.029645564,0.000754465,0.202148483226818,0.025582089933458,0.000715675992000957,44.8835202825
326,1118,548,49,0.199725418,0.050906175,0.001408904,0.203788611375637,0.0228226634828099,0.00160065291439582,7.20646730555
329,1264,2820,145,0.1059907,0.066307706,0.003411445,0.238401950014275,0.0457051022744539,0.00227225163008407,41.2163423826667
331,147,159,13,0.235791976,0.038561299,0.003144862,0.222630149862003,0.0330999381299431,0.00249752961189335,18.8951638383
332,308,600,25,0.232020023,0.041157292,0.001697406,0.183120991582316,0.0473119682770814,0.00223294943413056,20.69964871275
333,102,179,16,0.190116101,0.046821689,0.004103348,0.267665997414984,0.0312735455701503,0.00238624075966129,20.1681087409
334,48,63,4,0.219756413,0.035296525,0.002183071,0.18222583408209,0.0381418081304953,0.00201765823847956,17.3818415261167
335,201,478,31,0.18242805,0.049371764,0.003161287,0.228943312565176,0.04184849968299,0.00242661696541182,22.3170902495333
336,2933,4011,222,0.054972475,0.042233044,0.002341854,0.217299090071722,0.0271445924071077,0.00148181256402292,51.29341365455
337,631,1283,105,0.16599679,0.06397912,0.005212543,0.28648409304703,0.0408471093268274,0.00314085582102341,32.1535429718167
338,2813,3805,187,0.065780602,0.046799677,0.002295685,0.162706996634406,0.0402393615269963,0.00194578446506937,44.0328650943667
339,283,603,18,0.198035163,0.04335983,0.001312762,0.210265093182267,0.042920700323605,0.00120782062283556,20.7884225198333
340,2628,3573,291,0.261076758,0.02701922,0.001524104,0.161058329055356,0.0336754783759054,0.00270935884527681,57.2236742897167
342,725,1368,27,0.135782049,0.044567815,0.000877169,0.225234196494987,0.0493301842579848,0.00122966085393605,22.4626603645833
343,4141,3530,169,0.049741395,0.027508995,0.001317828,0.116637501602078,0.0357979149237894,0.00178267894301649,40.5392988363667
344,62,80,4,0.198917959,0.036155724,0.00170448,0.156663207906962,0.0446830815860683,0.00197252554820474,17.5370605596833
345,1239,1618,120,0.114676806,0.036032519,0.002661917,0.189706322434083,0.0355621972487322,0.00247916955282363,35.0366696065167
346,380,655,52,0.205156926,0.042859231,0.00340892,0.212601687744002,0.0439201432351165,0.00306650720024235,24.4317887639833
347,63,123,5,0.203875811,0.053944915,0.002319892,0.112999248745268,0.041772935325008,0.00187619291140909,17.6010057521333
348,1167,1582,80,0.141354424,0.042051198,0.002114161,0.186838898952665,0.0390892753627535,0.00198561861631381,29.3011915584333
351,1009,1398,48,0.139593352,0.037619653,0.00128708,0.201498400935581,0.0431974606970451,0.00159242432325178,24.9313578377333
352,1576,1552,25,0.12236745,0.029590277,0.000471251,0.172709784289988,0.0380231541761969,0.000812456924164437,21.9551246368167
354,139,217,12,0.1970975,0.042715999,0.002347242,0.177510088791138,0.0436640389765367,0.00192494905220213,19.0615095210167
355,4494,5256,109,0.027722709,0.03330477,0.00068915,0.207746996991414,0.0381072859392781,0.000886485287270329,36.0618096808833
358,159,189,10,0.207221233,0.049205872,0.002680144,0.214751270505279,0.0421020505441955,0.00197260537083835,18.5068268617833
359,783,954,38,0.153449769,0.033317589,0.001312464,0.197955501878523,0.0371720507420939,0.00157735865760834,23.5177013182333
