"Time","Mean","Lower95","Upper95","Rt","Scenario"
45,0.3563,0.1773,0.5453,0.556809917355372,"Transmission"
46,0.3563,0.1773,0.5453,0.542229150160185,"Transmission"
47,0.3563,0.1773,0.5453,0.531614616837169,"Transmission"
48,0.3563,0.1773,0.5453,0.528986013986014,"Transmission"
49,0.3563,0.1773,0.5453,0.529275980816766,"Transmission"
50,0.3563,0.1773,0.5453,0.52939627039627,"Transmission"
51,0.3563,0.1773,0.5453,0.536046289350788,"Transmission"
52,0.3563,0.1773,0.5453,0.542330910196523,"Transmission"
53,0.3563,0.1773,0.5453,0.550084855855607,"Transmission"
54,0.6024,0.3489,0.8466,0.558993413225778,"Transmission"
55,0.6024,0.3489,0.8466,0.570697217675941,"Transmission"
56,0.6024,0.3489,0.8466,0.578025235633931,"Transmission"
57,0.6024,0.3489,0.8466,0.590882517482518,"Transmission"
58,0.6024,0.3489,0.8466,0.59780480389176,"Transmission"
59,0.6024,0.3489,0.8466,0.606768014594102,"Transmission"
60,0.6024,0.3489,0.8466,0.617050462100713,"Transmission"
61,0.6024,0.3489,0.8466,0.625741507013696,"Transmission"
62,0.6024,0.3489,0.8466,0.639731180584122,"Transmission"
63,0.6024,0.3489,0.8466,0.651546688605512,"Transmission"
64,0.2908,9.4558e-05,0.5876,0.665851048951049,"Transmission"
65,0.2908,9.4558e-05,0.5876,0.678694354426062,"Transmission"
66,0.2908,9.4558e-05,0.5876,0.690900986430788,"Transmission"
67,0.2908,9.4558e-05,0.5876,0.704973248228282,"Transmission"
68,0.2908,9.4558e-05,0.5876,0.714379627725216,"Transmission"
69,0.2908,9.4558e-05,0.5876,0.729169143356643,"Transmission"
70,0.2908,9.4558e-05,0.5876,0.744607359853262,"Transmission"
71,0.2908,9.4558e-05,0.5876,0.76087249959343,"Transmission"
72,0.2908,9.4558e-05,0.5876,0.78005792714748,"Transmission"
73,0.2908,9.4558e-05,0.5876,0.798648689440057,"Transmission"
74,0.8325,0.4308,1.2334,0.81725567115811,"Transmission"
75,0.8325,0.4308,1.2334,0.834260739260739,"Transmission"
76,0.8325,0.4308,1.2334,0.852993585362007,"Transmission"
77,0.8325,0.4308,1.2334,0.871637051473117,"Transmission"
78,0.8325,0.4308,1.2334,0.888715178264359,"Transmission"
79,0.8325,0.4308,1.2334,0.90626907874734,"Transmission"
80,0.8325,0.4308,1.2334,0.930592579062729,"Transmission"
81,0.8325,0.4308,1.2334,0.953073306004341,"Transmission"
82,0.8325,0.4308,1.2334,0.971949791781253,"Transmission"
83,0.8325,0.4308,1.2334,0.988953962703963,"Transmission"
84,0.7324,0.3072,1.1558,1.0052295229523,"Transmission"
85,0.7324,0.3072,1.1558,1.02435866764814,"Transmission"
86,0.7324,0.3072,1.1558,1.04177229020979,"Transmission"
87,0.7324,0.3072,1.1558,1.05716405216405,"Transmission"
88,0.7324,0.3072,1.1558,1.07189222542164,"Transmission"
89,0.7324,0.3072,1.1558,1.08119509703779,"Transmission"
90,0.7324,0.3072,1.1558,1.09222409408773,"Transmission"
91,0.7324,0.3072,1.1558,1.10373137731833,"Transmission"
92,0.7324,0.3072,1.1558,1.11841068022886,"Transmission"
93,0.7324,0.3072,1.1558,1.13446518698693,"Transmission"
94,1.3811,0.9846,1.795,1.14812108943688,"Transmission"
95,1.3811,0.9846,1.795,1.16166677661961,"Transmission"
96,1.3811,0.9846,1.795,1.17643356643357,"Transmission"
97,1.3811,0.9846,1.795,1.19403881118881,"Transmission"
98,1.3811,0.9846,1.795,1.20925421637186,"Transmission"
99,1.3811,0.9846,1.795,1.22439450793109,"Transmission"
100,1.3811,0.9846,1.795,1.26000629370629,"Transmission"
101,1.3811,0.9846,1.795,3.71884287587413,"Transmission"
102,1.3811,0.9846,1.795,3.68743819560721,"Transmission"
103,1.3811,0.9846,1.795,3.61207507368664,"Transmission"
104,2.7072,2.3662,3.0571,3.48443518020441,"Transmission"
105,2.7072,2.3662,3.0571,3.29901844761573,"Transmission"
106,2.7072,2.3662,3.0571,3.06926756787516,"Transmission"
107,2.7072,2.3662,3.0571,2.7680955360429,"Transmission"
108,2.7072,2.3662,3.0571,2.41420410839161,"Transmission"
109,2.7072,2.3662,3.0571,2.03421250813963,"Transmission"
110,2.7072,2.3662,3.0571,1.67422865441011,"Transmission"
111,2.7072,2.3662,3.0571,1.38101280953233,"Transmission"
112,2.7072,2.3662,3.0571,1.12850123280974,"Transmission"
113,2.7072,2.3662,3.0571,0.945960256592082,"Transmission"
114,0.5659,0.3507,0.7858,0.817937951340855,"Transmission"
115,0.5659,0.3507,0.7858,0.714776478582147,"Transmission"
116,0.5659,0.3507,0.7858,0.63639515090173,"Transmission"
117,0.5659,0.3507,0.7858,0.576466859543783,"Transmission"
118,0.5659,0.3507,0.7858,0.527418353897412,"Transmission"
119,0.5659,0.3507,0.7858,0.531303082392468,"Transmission"
120,0.5659,0.3507,0.7858,0.543701763025707,"Transmission"
121,0.5659,0.3507,0.7858,0.550272508741259,"Transmission"
122,0.5659,0.3507,0.7858,0.540531576116192,"Transmission"
123,0.5659,0.3507,0.7858,0.541947310115627,"Transmission"
124,0.2172,3.4749e-05,0.4291,0.55707222847083,"Transmission"
125,0.2172,3.4749e-05,0.4291,0.582744755244755,"Transmission"
126,0.2172,3.4749e-05,0.4291,0.608916083916084,"Transmission"
127,0.2172,3.4749e-05,0.4291,0.63484015984016,"Transmission"
128,0.2172,3.4749e-05,0.4291,0.659149565387883,"Transmission"
129,0.2172,3.4749e-05,0.4291,0.684562111708034,"Transmission"
130,0.2172,3.4749e-05,0.4291,0.716773277483938,"Transmission"
131,0.2172,3.4749e-05,0.4291,0.752466673951049,"Transmission"
132,0.2172,3.4749e-05,0.4291,0.787426475393765,"Transmission"
133,0.2172,3.4749e-05,0.4291,0.821812441290053,"Transmission"
134,2.0835,1.3345,2.8439,0.87313159567705,"Transmission"
135,2.0835,1.3345,2.8439,0.909467687484929,"Transmission"
136,2.0835,1.3345,2.8439,0.93779463183875,"Transmission"
137,2.0835,1.3345,2.8439,0.967786344090692,"Transmission"
138,2.0835,1.3345,2.8439,1.003536309844,"Transmission"
139,2.0835,1.3345,2.8439,1.03768097823964,"Transmission"
140,2.0835,1.3345,2.8439,1.07281843156843,"Transmission"
141,2.0835,1.3345,2.8439,1.10495758049058,"Transmission"
142,2.0835,1.3345,2.8439,1.12450143230264,"Transmission"
143,2.0835,1.3345,2.8439,1.14919182302846,"Transmission"
144,1.2089,0.7419,1.7029,1.1718571325048,"Transmission"
145,1.2089,0.7419,1.7029,1.19029057784321,"Transmission"
146,1.2089,0.7419,1.7029,1.21406975950878,"Transmission"
147,1.2089,0.7419,1.7029,1.23136879513929,"Transmission"
148,1.2089,0.7419,1.7029,1.25062867132867,"Transmission"
149,1.2089,0.7419,1.7029,1.27846678321678,"Transmission"
150,1.2089,0.7419,1.7029,1.30689153238066,"Transmission"
151,1.2089,0.7419,1.7029,1.32199142565977,"Transmission"
152,1.2089,0.7419,1.7029,1.36202797202797,"Transmission"
153,1.2089,0.7419,1.7029,1.38936163351212,"Transmission"
154,1.5503,1.0534,2.074,1.39689553371157,"Transmission"
155,1.5503,1.0534,2.074,1.41193091661702,"Transmission"
156,1.5503,1.0534,2.074,1.421083010254,"Transmission"
157,1.5503,1.0534,2.074,1.43169048342961,"Transmission"
158,1.5503,1.0534,2.074,1.43511774989716,"Transmission"
159,1.5503,1.0534,2.074,1.4304476444608,"Transmission"
160,1.5503,1.0534,2.074,1.42173986013986,"Transmission"
161,1.5503,1.0534,2.074,1.40990854187135,"Transmission"
162,1.5503,1.0534,2.074,1.40446939514669,"Transmission"
163,1.5503,1.0534,2.074,1.38466351295763,"Transmission"
164,1.401,0.9913,1.8362,1.36410372545604,"Transmission"
165,1.401,0.9913,1.8362,1.36120491867683,"Transmission"
166,1.401,0.9913,1.8362,1.34669406239517,"Transmission"
167,1.401,0.9913,1.8362,1.30947161230378,"Transmission"
168,1.401,0.9913,1.8362,1.28794798951049,"Transmission"
169,1.401,0.9913,1.8362,1.27046493716074,"Transmission"
170,1.401,0.9913,1.8362,1.23678295873868,"Transmission"
171,1.401,0.9913,1.8362,1.20832204637468,"Transmission"
172,1.401,0.9913,1.8362,1.18376376350922,"Transmission"
